model_configuration,precision_at_5,recall_at_5,ap_at_5,mrr_at_5,hit_rate_at_5,ndcg_at_5,precision_at_10,recall_at_10,ap_at_10,mrr_at_10,hit_rate_at_10,ndcg_at_10,precision_at_20,recall_at_20,ap_at_20,mrr_at_20,hit_rate_at_20,ndcg_at_20,average_recommendation_time_sec
baseline,0.7066666666666668,0.014190093708165995,0.7919907407407406,0.8111111111111111,0.9333333333333333,0.8397495169791613,0.6900000000000001,0.02771084337349398,0.7720948496682623,0.8166666666666667,0.9666666666666667,0.8470954067214105,0.6583333333333333,0.052878179384203486,0.7481502922238544,0.8194444444444444,1.0,0.8544695394444999,0.6105684766662307
transfer_learning,0.72,0.014457831325301207,0.7944907407407408,0.7955555555555555,0.9666666666666667,0.8454095242718378,0.6833333333333333,0.027443105756358777,0.779405528260687,0.7955555555555555,0.9666666666666667,0.8480029656228536,0.6600000000000001,0.05301204819277109,0.7452594396576928,0.7979365079365078,1.0,0.8520905901811979,0.529733713332098
siamese,0.7066666666666667,0.014190093708166,0.770787037037037,0.7888888888888889,0.9333333333333333,0.8217398980426179,0.6833333333333333,0.02744310575635877,0.7562249412110523,0.7944444444444444,0.9666666666666667,0.8327745339914662,0.6783333333333332,0.05448460508701472,0.7271229291524612,0.7972222222222222,1.0,0.8411574501574215,0.5911733299988555
